"","coef","se","pval","country","formula","capital","dgvm","iso3"
"I(temp^2)75",-0.0559756816980588,0.0117741888080759,0.000107330336406552,"BE","sq","nN","orc","BEL"
"I(temp^2)76",0.0123618358210291,0.0040546089340605,0.00363680273050411,"BE","sq","mN","car","BEL"
"I(temp^2)77",0.00260796090142161,0.0041612322586791,0.533633074353755,"BE","sq","nN","car","BEL"
"I(temp^2)78",-0.0178809019578397,0.00302675411264168,1.75403419372813e-08,"BE","sq","mN","all","BEL"
"I(temp^2)79",-0.0207386768392507,0.00334011434301689,3.72538910561108e-09,"BE","sq","nN","all","BEL"
"log(temp + 1)72",-0.0964778631629021,0.0301583049730874,0.00196082039509162,"BE","log","mN","lpj","BEL"
"log(temp + 1)73",-0.107893365105468,0.0352661934012851,0.0029961736913741,"BE","log","nN","lpj","BEL"
"log(temp + 1)74",-0.267519944858556,0.0648286081547438,0.000480089138309357,"BE","log","mN","orc","BEL"
"log(temp + 1)75",-0.275944087351587,0.065554695672907,0.000393839950399072,"BE","log","nN","orc","BEL"
"log(temp + 1)76",0.0502784726077238,0.0280014641981589,0.0784892994356415,"BE","log","mN","car","BEL"
"log(temp + 1)77",0.01485566095705,0.0272088848935769,0.587456303276107,"BE","log","nN","car","BEL"
"log(temp + 1)78",-0.134085618488101,0.0354611379215402,0.000213583527998984,"BE","log","mN","all","BEL"
"log(temp + 1)79",-0.152836584884728,0.0383786223238061,9.97230641213323e-05,"BE","log","nN","all","BEL"
"temp72",-0.0515184453869558,0.0101245835545682,2.25053351529894e-06,"BE","lin","mN","lpj","BEL"
"temp73",-0.0573448272387638,0.011932508283101,6.87721442034989e-06,"BE","lin","nN","lpj","BEL"
"temp74",-0.142453621430309,0.0298817268229485,0.000104028986962602,"BE","lin","mN","orc","BEL"
"temp75",-0.145620476205614,0.0303474547624102,9.6600814481875e-05,"BE","lin","nN","orc","BEL"
"temp76",0.0295302465604526,0.0124206336094034,0.0212171109777952,"BE","lin","mN","car","BEL"
"temp77",0.00755788367761355,0.0123467893530598,0.543169035956541,"BE","lin","nN","car","BEL"
"temp78",-0.0681291064367209,0.0132950588707377,7.79778266797704e-07,"BE","lin","mN","all","BEL"
"temp79",-0.0777035796332302,0.0144798268170675,2.50767657503753e-07,"BE","lin","nN","all","BEL"
"I(temp^2)80",-0.0198648494502042,0.00231383501177433,4.81198092428898e-13,"BF","sq","mN","lpj","BFA"
"I(temp^2)81",-0.020169574528132,0.0023651457695737,6.25898078068001e-13,"BF","sq","nN","lpj","BFA"
