year,countrycode,intensity
2267,AFG,3.074595626933114e-9
2268,AFG,3.02299874236459e-9
2269,AFG,2.972261058818616e-9
2270,AFG,2.9223683817391166e-9
2271,AFG,2.8733067491756108e-9
2272,AFG,2.8250624280031347e-9
2273,AFG,2.7776219102030726e-9
2274,AFG,2.730971909203919e-9
2275,AFG,2.6850993562810198e-9
2276,AFG,2.6399913970143496e-9
2277,AFG,2.5956353878033957e-9
2278,AFG,2.5520188924382347e-9
2279,AFG,2.509129678725908e-9
2280,AFG,2.466955715171211e-9
2281,AFG,2.4254851677110224e-9
2282,AFG,2.3847063965013203e-9
2283,AFG,2.3446079527560463e-9
2284,AFG,2.305178575636977e-9
2285,AFG,2.2664071891938016e-9
2286,AFG,2.2282828993535904e-9
2287,AFG,2.1907949909588696e-9
2288,AFG,2.1539329248535215e-9
2289,AFG,2.11768633501575e-9
2290,AFG,2.082045025737352e-9
2291,AFG,2.046998968848553e-9
2292,AFG,2.0125383009876843e-9
2293,AFG,1.9786533209149762e-9
2294,AFG,1.9453344868697627e-9
2295,AFG,1.912572413970406e-9
2296,AFG,1.880357871656251e-9
2297,AFG,1.8486817811709357e-9
2298,AFG,1.8175352130864039e-9
2299,AFG,1.7869093848669557e-9
2300,AFG,1.7567956584727008e-9
2020,AGO,9.665528277427687e-8
2021,AGO,9.339795291181946e-8
2022,AGO,9.02478647436359e-8
2023,AGO,8.720157496247945e-8
2024,AGO,8.425574786069701e-8
2025,AGO,8.14071520657779e-8
2026,AGO,7.865265737177428e-8
2027,AGO,7.598923166387779e-8
2028,AGO,7.341393793351032e-8
2029,AGO,7.092393138135949e-8
2030,AGO,6.851645660585906e-8
2031,AGO,6.618884487468247e-8
2032,AGO,6.393851147688504e-8
2033,AGO,6.176295315339379e-8
2034,AGO,5.965974560360822e-8
2035,AGO,5.762654106593579e-8
2036,AGO,5.566106597014596e-8
2037,AGO,5.376111865948503e-8
2038,AGO,5.192456718055036e-8
2039,AGO,5.014934713897791e-8
2040,AGO,4.843345961905085e-8
2041,AGO,4.677496916538894e-8
2042,AGO,4.5172001824929906e-8
2043,AGO,4.3622743247462966e-8
2044,AGO,4.2125436843023446e-8
2045,AGO,4.067838199450406e-8
2046,AGO,3.9279932323884405e-8
2047,AGO,3.792849401052459e-8
2048,AGO,3.6622524160012296e-8
2049,AGO,3.5360529222094845e-8
2050,AGO,3.4141063456268655e-8
2051,AGO,3.2962727443638745e-8
2052,AGO,3.1824166643699506e-8
2053,AGO,3.0724069994726095e-8
2054,AGO,2.9661168556502334e-8
2055,AGO,2.8634234194147104e-8
2056,AGO,2.764207830183591e-8
2057,AGO,2.668355056524828e-8
2058,AGO,2.575753776160463e-8
2059,AGO,2.4862962596188494e-8
2060,AGO,2.3998782574280985e-8
2061,AGO,2.3163988907465073e-8
2062,AGO,2.2357605453286575e-8
2063,AGO,2.15786876872877e-8
2064,AGO,2.082632170645686e-8
2065,AGO,2.0099623263165788e-8
2066,AGO,1.9397736828691357e-8
2067,AGO,1.871983468544537e-8
2068,AGO,1.806511604706061e-8
2069,AGO,1.743280620550569e-8
2070,AGO,1.682215570442517e-8
2071,AGO,1.6232439537924195e-8
2072,AGO,1.566295637403951e-8
2073,AGO,1.5113027802160417e-8
2074,AGO,1.4581997603684412e-8
2075,AGO,1.4069231045212929e-8
2076,AGO,1.3574114193612566e-8
2077,AGO,1.3096053252286676e-8
2078,AGO,1.2634473918021216e-8
2079,AGO,1.2188820757787001e-8
2080,AGO,1.1758556604898627e-8
2081,AGO,1.1343161973947523e-8
2082,AGO,1.0942134493943654e-8
2083,AGO,1.0554988359116784e-8
2084,AGO,1.0181253796844179e-8
2085,AGO,9.820476552187254e-9
2086,AGO,9.472217388534642e-9
2087,AGO,9.136051603863957e-9
2088,AGO,8.811568562148749e-9
2089,AGO,8.498371239450977e-9
2090,AGO,8.196075784252895e-9
2091,AGO,7.904311091595225e-9
2092,AGO,7.622718390601327e-9
2093,AGO,7.350950844979353e-9
2094,AGO,7.088673166106467e-9
2095,AGO,6.835561238310812e-9
2096,AGO,6.591301755978306e-9
2097,AGO,6.3555918721223505e-9
2098,AGO,6.128138858065242e-9
2099,AGO,5.908659773890475e-9
2100,AGO,5.696881149335256e-9
2101,AGO,5.492538674802325e-9
2102,AGO,5.295376902179766e-9
2103,AGO,5.10514895516671e-9
2104,AGO,4.921616248811861e-9
2105,AGO,4.7445482179805064e-9
2106,AGO,4.573722054474149e-9
2107,AGO,4.40892245253518e-9
2108,AGO,4.249941362476967e-9
2109,AGO,4.096577752187558e-9
2110,AGO,3.94863737626273e-9
2111,AGO,3.805932552531436e-9
2112,AGO,3.668281945743851e-9
2113,AGO,3.53551035819911e-9
2114,AGO,3.4074485270965627e-9
2115,AGO,3.2839329284008753e-9
2116,AGO,3.1648055870176445e-9
2117,AGO,3.049913893082343e-9
2118,AGO,2.9391104241713647e-9
2119,AGO,2.83225277324975e-9
2120,AGO,2.729203382175777e-9
2121,AGO,2.629829380588068e-9
2122,AGO,2.5340024300061753e-9
2123,AGO,2.4415985729807205e-9
2124,AGO,2.3524980871341884e-9
2125,AGO,2.2665853439382984e-9
2126,AGO,2.1837486720785863e-9
2127,AGO,2.1038802252613974e-9
2128,AGO,2.0268758543229185e-9
2129,AGO,1.9526349835041674e-9
2130,AGO,1.8810604907600446e-9
2131,AGO,1.812058591974591e-9
2132,AGO,1.7455387289585162e-9
2133,AGO,1.6814134611088979e-9
2134,AGO,1.6195983606146171e-9
2135,AGO,1.5600119110947139e-9
2136,AGO,1.5025754095603076e-9
2137,AGO,1.4472128715941145e-9
2138,AGO,1.3938509396448681e-9
2139,AGO,1.3424187943371274e-9
2140,AGO,1.2928480687000429e-9
2141,AGO,1.2450727652216362e-9
2142,AGO,1.1990291756380616e-9
2143,AGO,1.154655803370117e-9
2144,AGO,1.1118932885220182e-9
2145,AGO,1.0706843353600852e-9
2146,AGO,1.030973642191562e-9
2147,AGO,9.927078335662846e-10
2148,AGO,9.558353947263219e-10
2149,AGO,9.203066082310595e-10
2150,AGO,8.860734926874687e-10
2151,AGO,8.530897435175027e-10
2152,AGO,8.213106756966977e-10
2153,AGO,7.906931684001335e-10
2154,AGO,7.611956114939061e-10
2155,AGO,7.327778538122223e-10
2156,AGO,7.054011531621033e-10
2157,AGO,6.790281279995237e-10
2158,AGO,6.536227107225809e-10
2159,AGO,6.291501025290084e-10
2160,AGO,6.055767297870213e-10
2161,AGO,5.828702018700869e-10
2162,AGO,5.609992704077916e-10
2163,AGO,5.399337899064852e-10
2164,AGO,5.196446796948581e-10
2165,AGO,5.001038871510358e-10
2166,AGO,4.812843521691533e-10
2167,AGO,4.6315997282471385e-10
2168,AGO,4.4570557219933663e-10
2169,AGO,4.288968663267525e-10
2170,AGO,4.127104332231291e-10
2171,AGO,3.971236829659876e-10
2172,AGO,3.821148287871179e-10
2173,AGO,3.6766285914600723e-10
2174,AGO,3.537475107513765e-10
2175,AGO,3.4034924249945277e-10
2176,AGO,3.2744921029862336e-10
2177,AGO,3.1502924275108797e-10
2178,AGO,3.0307181766307664e-10
2179,AGO,2.915600393561156e-10
2180,AGO,2.8047761675271457e-10
2181,AGO,2.698088422107078e-10
2182,AGO,2.595385710813154e-10
2183,AGO,2.496522019668008e-10
2184,AGO,2.4013565765438e-10
2185,AGO,2.3097536670379754e-10
2186,AGO,2.2215824566671864e-10
2187,AGO,2.1367168191679499e-10
2188,AGO,2.0550351706995267e-10
2189,AGO,1.9764203097511615e-10
2190,AGO,1.9007592625622712e-10
2191,AGO,1.8279431338704336e-10
2192,AGO,1.7578669628080629e-10
2193,AGO,1.6904295837745387e-10
2194,AGO,1.6255334921162086e-10
2195,AGO,1.5630847144521947e-10
2196,AGO,1.5029926834892417e-10
2197,AGO,1.445170117174e-10
2198,AGO,1.3895329020361167e-10
